date,inflace,inflation,prices,cena elektriny,cena plynu,cena zlata,cena nafty,cena benzinu,cena nemovitosti,cena bydleni,cena,cena ropy,nakup zlata
2004-01-01,61,46,0,0,0,0,0,0,0,0,50,0,100
2004-02-01,0,0,34,53,0,0,0,0,0,0,50,0,0
2004-03-01,36,0,37,0,0,0,0,0,100,0,55,87,75
2004-04-01,0,0,20,46,0,100,0,0,0,0,56,0,0
2004-05-01,67,0,0,53,0,0,0,37,0,97,52,0,0
2004-06-01,0,0,100,0,0,0,0,0,0,0,61,43,0
2004-07-01,0,0,37,0,0,0,15,0,0,0,63,0,0
2004-08-01,0,0,0,100,0,0,0,0,0,0,62,0,57
2004-09-01,0,0,29,0,0,0,0,0,0,0,63,72,0
2004-10-01,43,0,81,0,60,73,0,0,0,0,63,100,0
2004-11-01,33,100,23,63,0,0,0,0,0,0,66,24,0
2004-12-01,32,0,33,0,0,0,0,0,0,0,61,0,0
2005-01-01,45,30,0,0,0,30,0,0,41,100,56,48,0
2005-02-01,0,71,55,0,0,33,0,0,0,0,54,0,0
2005-03-01,39,19,57,0,0,0,0,0,0,0,51,0,0
2005-04-01,57,0,46,0,0,32,0,0,0,0,53,25,30
2005-05-01,37,0,32,0,40,19,0,0,0,0,54,0,45
2005-06-01,30,0,35,0,0,0,0,0,0,0,55,0,39
2005-07-01,0,0,33,0,0,57,0,38,66,0,58,42,0
2005-08-01,29,0,34,30,0,24,0,0,0,0,58,25,0
2005-09-01,40,16,35,0,0,0,0,32,0,0,60,0,0
2005-10-01,22,20,34,0,0,0,9,0,0,0,63,30,0
2005-11-01,37,25,19,0,0,0,0,0,37,42,55,0,0
2005-12-01,26,0,34,13,24,0,0,0,38,0,55,0,0
2006-01-01,23,13,31,21,27,0,0,0,0,0,50,0,0
2006-02-01,28,0,25,0,29,14,0,0,31,0,47,0,0
2006-03-01,19,20,32,0,41,21,0,13,0,37,51,0,0
2006-04-01,18,13,21,23,0,0,0,27,45,0,50,11,0
2006-05-01,39,14,39,0,0,0,0,9,24,0,46,11,0
2006-06-01,17,12,13,0,46,0,0,0,32,0,50,14,0
2006-07-01,19,14,50,0,0,0,8,0,0,0,49,0,0
2006-08-01,22,18,21,0,0,12,0,0,0,22,52,0,0
2006-09-01,31,0,39,0,48,28,6,0,0,0,44,0,0
2006-10-01,33,0,14,0,42,13,6,0,0,35,49,36,0
2006-11-01,25,10,23,7,28,0,0,0,0,0,50,0,0
2006-12-01,27,0,9,0,12,0,5,0,0,0,48,0,0
2007-01-01,44,0,0,0,33,7,0,8,0,17,42,18,0
2007-02-01,15,0,20,0,19,0,3,0,0,0,41,9,0
2007-03-01,25,17,23,0,0,28,0,0,0,0,41,0,0
2007-04-01,50,13,19,11,16,0,0,7,30,0,43,0,8
2007-05-01,49,0,19,0,37,7,0,0,0,0,39,11,0
2007-06-01,27,11,28,0,0,0,9,0,14,0,42,19,0
2007-07-01,15,7,20,0,0,13,3,7,0,0,46,5,0
2007-08-01,15,0,40,0,0,0,0,0,0,0,49,0,0
2007-09-01,23,0,20,19,11,12,0,0,0,0,48,0,0
2007-10-01,31,12,23,8,45,0,0,0,10,15,50,0,0
2007-11-01,49,14,20,6,18,5,5,0,0,8,52,19,0
2007-12-01,34,0,30,0,14,0,0,20,0,10,46,9,0
2008-01-01,64,0,17,7,0,10,3,4,13,0,44,12,0
2008-02-01,63,11,31,0,13,10,0,12,18,0,45,10,0
2008-03-01,47,11,23,0,13,5,0,0,0,0,46,0,0
2008-04-01,46,15,29,0,18,5,2,0,0,14,48,4,0
2008-05-01,52,0,22,0,0,4,7,14,0,0,47,19,9
2008-06-01,45,9,35,0,18,6,7,10,0,22,45,8,0
2008-07-01,21,0,28,0,0,13,5,4,0,9,52,7,0
2008-08-01,23,12,27,0,0,0,3,6,0,8,47,12,0
2008-09-01,41,19,18,8,11,12,4,12,11,12,48,7,0
2008-10-01,28,14,28,4,18,20,0,7,13,0,50,12,0
2008-11-01,50,9,22,4,8,11,2,5,0,0,52,4,4
2008-12-01,48,7,22,0,18,9,2,10,0,0,51,20,0
2009-01-01,60,5,17,0,40,7,6,8,27,0,51,21,0
2009-02-01,45,9,21,0,22,8,7,12,12,0,46,0,0
2009-03-01,30,12,20,0,20,7,7,7,7,0,48,5,0
2009-04-01,39,14,25,15,0,0,0,7,0,0,49,5,0
2009-05-01,48,11,17,0,10,12,4,7,10,0,49,8,0
2009-06-01,37,0,22,0,0,0,2,12,0,0,53,21,0
2009-07-01,19,5,16,4,19,6,2,8,12,0,53,21,5
2009-08-01,21,0,18,14,0,11,4,3,0,18,55,6,0
2009-09-01,21,17,20,4,8,11,3,0,25,0,50,0,0
2009-10-01,26,7,17,10,18,12,5,0,0,0,54,0,0
2009-11-01,26,7,19,0,18,9,0,0,0,0,55,0,9
2009-12-01,22,6,19,3,15,16,2,0,10,0,54,4,0
2010-01-01,50,8,18,0,17,15,4,6,26,0,53,0,0
2010-02-01,27,6,13,7,19,11,4,0,6,0,54,0,0
2010-03-01,32,4,17,6,9,9,2,0,9,0,55,6,4
2010-04-01,28,13,23,6,26,9,1,0,10,0,56,3,0
2010-05-01,38,10,16,0,15,26,0,2,11,0,54,3,0
2010-06-01,23,5,25,0,0,25,5,5,9,0,57,0,0
2010-07-01,14,3,18,0,0,12,2,10,10,0,58,5,0
2010-08-01,13,7,17,0,8,11,4,4,6,0,65,4,0
2010-09-01,21,3,11,0,8,14,0,0,0,6,62,0,6
2010-10-01,37,3,16,5,14,20,2,0,15,0,60,3,0
2010-11-01,40,3,18,4,8,20,0,3,6,0,58,4,5
2010-12-01,35,9,17,2,22,13,5,0,7,0,53,6,7
2011-01-01,50,4,17,0,21,24,3,3,13,0,55,2,0
2011-02-01,29,3,13,3,15,18,4,5,22,0,60,6,0
2011-03-01,41,5,14,3,4,18,4,2,16,0,54,7,0
2011-04-01,29,6,14,0,13,19,4,0,11,0,60,8,2
2011-05-01,38,7,20,3,17,22,4,6,10,0,59,13,0
2011-06-01,36,7,20,5,11,17,6,8,7,0,55,0,0
2011-07-01,20,6,17,0,11,33,4,12,9,0,62,5,6
2011-08-01,24,3,16,0,12,60,5,8,15,4,61,6,3
2011-09-01,20,4,16,0,12,44,4,7,0,0,56,5,0
2011-10-01,27,6,17,2,26,35,2,5,11,5,61,6,2
2011-11-01,35,11,16,2,20,39,5,4,7,0,53,5,0
2011-12-01,34,2,13,0,21,44,5,3,10,0,52,5,4
2012-01-01,42,7,17,0,31,33,6,9,20,4,57,5,3
2012-02-01,35,7,17,3,23,38,7,2,10,0,58,4,4
2012-03-01,40,6,16,2,23,32,5,7,7,6,65,4,1
2012-04-01,33,6,19,0,23,21,4,10,6,0,60,8,0
2012-05-01,51,5,22,2,23,8,6,6,12,0,64,7,0
2012-06-01,36,2,16,0,10,21,5,3,10,2,63,5,3
2012-07-01,16,5,20,0,15,15,8,8,0,0,66,5,0
2012-08-01,10,5,21,2,15,15,7,11,5,0,68,8,2
2012-09-01,20,3,15,2,30,18,5,7,9,3,63,0,0
2012-10-01,26,4,16,5,25,16,4,7,5,0,71,5,0
2012-11-01,35,8,14,3,25,17,6,3,12,0,67,3,0
2012-12-01,28,7,16,4,18,24,4,4,3,0,57,4,0
2013-01-01,49,4,16,4,23,22,3,5,18,0,61,4,2
2013-02-01,29,0,15,0,20,23,3,6,11,0,65,1,0
2013-03-01,29,5,18,1,17,20,5,4,11,0,67,2,0
2013-04-01,32,8,15,0,10,36,3,7,14,4,68,6,5
2013-05-01,37,3,14,1,13,23,3,6,9,4,66,4,0
2013-06-01,23,4,16,0,6,31,6,6,11,2,65,2,0
2013-07-01,11,4,14,4,21,20,5,11,10,3,73,2,0
2013-08-01,13,4,21,3,13,20,8,6,3,0,71,2,0
2013-09-01,22,3,17,3,21,17,3,2,8,0,71,0,0
2013-10-01,20,4,16,0,21,23,3,6,8,0,68,0,0
2013-11-01,34,8,16,2,17,22,4,10,11,0,66,1,0
2013-12-01,27,5,17,2,29,26,2,6,8,0,59,2,2
2014-01-01,43,4,14,1,20,23,2,4,15,0,70,0,0
2014-02-01,29,5,16,4,19,21,4,6,17,0,69,0,0
2014-03-01,27,5,14,3,16,22,3,4,10,0,70,0,0
2014-04-01,27,6,15,2,27,15,3,5,7,3,71,2,1
2014-05-01,32,9,15,2,18,16,3,5,10,1,72,1,0
2014-06-01,26,5,17,2,7,13,6,4,6,0,74,2,0
2014-07-01,10,0,20,2,13,20,9,8,13,0,74,0,0
2014-08-01,14,3,19,3,12,19,6,8,7,4,77,2,2
2014-09-01,14,7,14,0,12,12,4,6,9,5,75,3,0
2014-10-01,19,5,14,2,23,15,3,4,3,2,70,3,1
2014-11-01,22,6,14,1,22,26,3,5,11,0,71,7,0
2014-12-01,22,3,18,1,11,21,6,11,4,2,67,19,0
2015-01-01,41,8,18,1,19,25,7,10,14,2,72,19,0
2015-02-01,21,4,18,0,21,16,6,8,9,2,74,20,0
2015-03-01,23,4,13,2,16,19,5,4,10,0,75,12,3
2015-04-01,20,5,17,3,10,16,3,4,7,0,75,9,0
2015-05-01,26,5,14,1,11,9,5,2,10,0,71,4,0
2015-06-01,21,2,17,1,15,17,5,7,8,0,69,2,2
2015-07-01,11,5,22,1,6,27,6,9,10,4,75,8,0
2015-08-01,10,4,21,0,10,29,7,10,11,1,77,7,2
2015-09-01,15,5,20,4,11,20,5,7,10,0,78,6,0
2015-10-01,15,4,15,1,15,13,5,5,12,0,71,5,1
2015-11-01,20,5,10,4,17,16,3,3,9,0,70,5,2
2015-12-01,22,2,17,2,15,16,5,5,5,0,66,9,0
2016-01-01,25,3,17,3,17,19,5,6,15,2,72,16,2
2016-02-01,19,3,15,2,15,17,5,8,11,1,73,13,0
2016-03-01,19,4,13,2,10,17,5,5,9,0,73,12,0
2016-04-01,22,10,15,0,13,17,5,6,13,0,73,9,0
2016-05-01,24,5,15,2,10,16,3,6,9,2,71,10,1
2016-06-01,15,5,19,2,6,16,6,7,0,0,73,6,1
2016-07-01,7,1,19,1,7,20,6,7,10,0,76,6,0
2016-08-01,8,5,16,3,8,21,5,4,9,4,70,10,0
2016-09-01,13,3,18,2,12,18,3,4,8,2,73,8,0
2016-10-01,13,12,14,2,11,12,3,4,5,0,72,6,0
2016-11-01,16,5,14,1,19,21,2,4,11,1,69,7,1
2016-12-01,14,5,17,2,17,15,3,4,7,3,63,9,0
2017-01-01,30,5,16,2,14,13,4,5,13,0,68,7,3
2017-02-01,18,4,18,3,12,13,3,4,12,0,74,6,0
2017-03-01,25,5,22,2,12,13,4,4,9,0,72,7,0
2017-04-01,18,7,19,1,12,13,3,3,11,0,70,7,0
2017-05-01,21,6,17,1,7,13,3,5,8,0,69,7,0
2017-06-01,17,5,20,2,8,11,5,7,5,0,77,8,1
2017-07-01,6,3,21,0,6,18,6,9,6,0,73,5,1
2017-08-01,10,3,22,2,9,12,5,4,7,0,73,6,0
2017-09-01,14,4,20,2,13,16,5,5,9,2,71,4,0
2017-10-01,19,4,17,2,14,12,3,4,10,0,67,5,0
2017-11-01,18,7,19,3,14,19,3,3,12,0,69,6,0
2017-12-01,18,6,18,2,13,17,2,5,7,2,63,6,0
2018-01-01,27,5,17,0,13,19,3,5,13,3,70,6,0
2018-02-01,21,4,18,0,10,18,3,6,8,2,69,4,1
2018-03-01,15,4,16,2,14,18,3,4,8,0,69,6,1
2018-04-01,17,5,17,2,7,15,4,7,8,0,71,5,1
2018-05-01,22,9,18,2,8,14,5,6,9,2,67,9,0
2018-06-01,16,5,17,2,6,12,8,9,9,0,73,5,0
2018-07-01,10,2,20,3,10,14,6,8,12,2,72,7,0
2018-08-01,9,6,20,2,3,17,6,8,12,0,69,4,0
2018-09-01,13,4,17,2,10,11,4,6,9,3,69,4,0
2018-10-01,15,4,18,2,7,15,5,6,9,0,70,6,0
2018-11-01,18,7,15,3,14,15,5,3,10,0,66,9,1
2018-12-01,18,3,13,3,18,18,5,7,6,0,63,8,0
2019-01-01,24,5,15,1,17,18,5,5,6,1,67,8,0
2019-02-01,20,5,16,1,13,19,5,6,9,1,68,4,1
2019-03-01,19,5,16,2,7,15,3,4,12,2,65,4,0
2019-04-01,21,4,19,1,9,17,3,6,7,1,67,5,1
2019-05-01,21,5,13,2,6,17,4,5,11,0,68,5,0
2019-06-01,15,7,17,2,4,19,5,7,6,0,64,6,1
2019-07-01,9,4,21,1,10,19,6,5,5,0,67,4,0
2019-08-01,12,6,17,1,5,28,5,5,10,0,73,5,0
2019-09-01,17,4,16,1,7,22,4,7,12,0,70,8,0
2019-10-01,18,2,14,2,10,23,3,3,8,1,66,5,0
2019-11-01,20,5,14,1,6,19,3,4,9,0,65,2,0
2019-12-01,22,5,12,1,14,18,3,4,5,0,59,3,0
2020-01-01,35,5,15,2,14,28,4,3,12,1,70,5,1
2020-02-01,25,5,14,3,10,29,4,5,10,1,74,7,1
2020-03-01,23,6,11,1,8,49,11,14,8,0,60,21,2
2020-04-01,24,6,11,1,10,36,10,13,11,2,66,35,0
2020-05-01,25,7,9,2,11,28,6,9,13,0,72,13,1
2020-06-01,21,6,9,2,9,28,6,6,12,0,68,8,1
2020-07-01,13,5,11,1,7,36,5,9,11,0,70,4,1
2020-08-01,15,5,13,2,7,32,5,7,9,0,67,4,1
2020-09-01,20,5,6,1,9,28,4,6,11,0,65,3,0
2020-10-01,18,5,10,1,11,24,2,1,13,0,57,5,1
2020-11-01,20,5,8,2,12,30,3,5,7,1,62,4,1
2020-12-01,20,4,8,0,10,29,2,3,8,3,60,2,2
