date,inflace,inflation,prices,cena elektriny,cena plynu,cena zlata,cena nafty,d p  mzda,p mzda,d p plat,p plat,mzda,plat
01/01/2004,61,46,0,0,0,0,0,26,100,0,0,37,76
02/01/2004,0,0,34,53,0,0,0,100,0,52,0,64,0
03/01/2004,36,0,37,0,0,0,0,39,0,56,0,48,36
04/01/2004,0,0,20,46,0,100,0,33,0,42,0,27,0
05/01/2004,67,0,0,53,0,0,0,0,0,46,0,36,13
06/01/2004,0,0,100,0,0,0,0,0,0,0,0,0,0
07/01/2004,0,0,37,0,0,0,15,0,0,77,71,31,39
08/01/2004,0,0,0,100,0,0,0,26,0,0,0,29,15
09/01/2004,0,0,29,0,0,0,0,0,77,0,0,17,23
10/01/2004,43,0,81,0,60,73,0,0,0,50,48,32,11
11/01/2004,33,100,23,63,0,0,0,19,0,0,0,35,11
12/01/2004,32,0,33,0,0,0,0,0,0,100,0,41,0
01/01/2005,45,30,0,0,0,30,0,0,0,50,0,76,28
02/01/2005,0,71,55,0,0,33,0,0,57,0,0,29,23
03/01/2005,39,19,57,0,0,0,0,14,0,0,0,25,25
04/01/2005,57,0,46,0,0,32,0,32,58,43,0,32,17
05/01/2005,37,0,32,0,40,19,0,21,0,73,0,49,27
06/01/2005,30,0,35,0,0,0,0,21,0,0,0,41,18
07/01/2005,0,0,33,0,0,57,0,38,0,0,100,20,42
08/01/2005,29,0,34,30,0,24,0,60,0,0,0,41,16
09/01/2005,40,16,35,0,0,0,0,37,49,0,0,33,27
10/01/2005,22,20,34,0,0,0,9,0,0,21,78,33,17
11/01/2005,37,25,19,0,0,0,0,22,0,0,0,43,9
12/01/2005,26,0,34,13,24,0,0,25,84,0,0,40,12
01/01/2006,23,13,31,21,27,0,0,18,0,0,0,57,27
02/01/2006,28,0,25,0,29,14,0,20,0,0,0,53,11
03/01/2006,19,20,32,0,41,21,0,23,0,23,19,38,32
04/01/2006,18,13,21,23,0,0,0,26,0,0,0,33,24
05/01/2006,39,14,39,0,0,0,0,30,0,14,27,42,25
06/01/2006,17,12,13,0,46,0,0,14,0,18,0,48,26
07/01/2006,19,14,50,0,0,0,8,23,55,18,0,45,25
08/01/2006,22,18,21,0,0,12,0,33,0,0,16,44,27
09/01/2006,31,0,39,0,48,28,6,15,0,15,0,33,23
10/01/2006,33,0,14,0,42,13,6,27,24,24,16,39,13
11/01/2006,25,10,23,7,28,0,0,30,0,0,11,35,21
