"X","promenna","p.value","AIC","AICc","BIC","AR","I","MA","lag","sAIC","sAICc","sBIC"
"X","originalni model",NA,295.760576502547,295.896169722886,305.356067596344,1,1,1,"lag","Vojta","je","debil"
"X2019...2...9","cena.nemovitosti",0.0806,291.083170694,291.426027837,307.07565585,1,0,1,"posun_vpred","292.151025616337","292.37829834361","304.945013741401"
"X2019...2...9.1","cena.nemovitosti",0.0982,291.828996096,292.47639494,314.218475315,1,0,3,"posun_vpred","292.568726745645","293.051485366334","311.759708933239"
"X2019...2...9.2","cena.nemovitosti",0.0862,294.13751725,294.366088678,306.909344653,1,1,1,"posun_vpred","295.091819497015","295.228183133379","304.670690049686"
"X2019...2...9.3","cena.nemovitosti",0.0725,295.269478459,295.614306045,311.234262713,1,1,2,"posun_vpred","296.409552969986","296.638124398557","309.181380373546"
"X2019...2...9.4","cena.nemovitosti",0.0964,291.765886003,292.413284847,314.155365222,2,0,2,"posun_vpred","292.527039364765","293.009797985454","311.718021552359"
"X2019...2...9.5","cena.nemovitosti",0.0973,293.636221573,294.473430876,319.224197823,2,0,3,"posun_vpred","294.391502103765","295.038900947696","316.780981322626"
"X2019...2...9.6","cena.nemovitosti",0.0752,294.662823789,295.007651375,310.627608043,2,1,1,"posun_vpred","295.831741755816","296.060313184388","308.603569159377"
"X2019...2...9.7","cena.nemovitosti",0.0971,296.078352881,296.729515672,318.429050837,2,1,3,"posun_vpred","296.831313993678","297.316863126626","315.989055099019"
"X2019...2...9.8","cena.nemovitosti",0.0974,291.777924654,292.425323498,314.167403873,3,0,1,"posun_vpred","292.529421014483","293.012179635172","311.720403202078"
"X2019...2...9.9","cena.nemovitosti",0.0873,292.453066577,293.29027588,318.041042827,3,0,2,"posun_vpred","294.422845744341","295.070244588272","316.812324963202"
"X2019...2...9.10","cena.nemovitosti",0.075,296.348254143,296.833803276,315.505995249,3,1,1,"posun_vpred","297.522605578919","297.867433165126","313.48738983337"
